,name,price,stars,reviews,url
0,"POCO M4 Pro (Cool Blue, 128 GB)","₹16,549",4.3,"1,35,504 Ratings & 12,348 Reviews",https://www.flipkart.com/poco-m4-pro-cool-blue-128-gb/p/itm98e13f0c82b82?pid=MOBGBTHFBKGG6AVB&lid=LSTMOBGBTHFBKGG6AVBZXCSFJ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBTHFBKGG6AVB.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
1,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹14,999",4.3,"1,41,452 Ratings & 11,551 Reviews",https://www.flipkart.com/samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGBKQF3QM4GHWN&lid=LSTMOBGBKQF3QM4GHWNJ56YXY&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBKQF3QM4GHWN.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
2,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹14,999",4.3,"1,41,452 Ratings & 11,551 Reviews",https://www.flipkart.com/samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itme54bc0c2292f4?pid=MOBGBKQF45XPEUHA&lid=LSTMOBGBKQF45XPEUHAYAHBJE&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBKQF45XPEUHA.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
3,"POCO M4 Pro (Yellow, 128 GB)","₹16,549",4.3,"1,35,504 Ratings & 12,348 Reviews",https://www.flipkart.com/poco-m4-pro-yellow-128-gb/p/itm675edffaf085d?pid=MOBGBTHFCY9DADTY&lid=LSTMOBGBTHFCY9DADTYRTYP22&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBTHFCY9DADTY.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
4,"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹16,999",4.2,"43,460 Ratings & 3,865 Reviews",https://www.flipkart.com/poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
5,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999",4.4,"45,504 Ratings & 3,455 Reviews",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23BNMEFR&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGDRHVXFVCGS23.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
6,"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999",4.2,"22,721 Ratings & 2,802 Reviews",https://www.flipkart.com/motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
7,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹14,999",4.3,"1,41,452 Ratings & 11,551 Reviews",https://www.flipkart.com/samsung-galaxy-f23-5g-copper-blush-128-gb/p/itm59c8bf3255ef6?pid=MOBGE2ZU2YBUAEVZ&lid=LSTMOBGE2ZU2YBUAEVZJXNB2M&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGE2ZU2YBUAEVZ.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
8,"POCO M4 Pro 5G (Power Black, 128 GB)","₹18,999",4.2,"9,398 Ratings & 785 Reviews",https://www.flipkart.com/poco-m4-pro-5g-power-black-128-gb/p/itm6582c30018b6b?pid=MOBGBEU73C6DGJGH&lid=LSTMOBGBEU73C6DGJGHSOUJSP&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBEU73C6DGJGH.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
9,"realme 9 5G (Stargaze White, 128 GB)","₹17,599",4.4,"46,204 Ratings & 2,997 Reviews",https://www.flipkart.com/realme-9-5g-stargaze-white-128-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5JHRNRFKY&lid=LSTMOBGC2Q5JHRNRFKYVTLV63&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGC2Q5JHRNRFKY.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
10,"POCO M4 Pro (Power Black, 128 GB)","₹18,199",4.3,"12,744 Ratings & 1,121 Reviews",https://www.flipkart.com/poco-m4-pro-power-black-128-gb/p/itm084d4c7d880f3?pid=MOBGBTHFNDZUUYRH&lid=LSTMOBGBTHFNDZUUYRHEZQNQJ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_11&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBTHFNDZUUYRH.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
11,"vivo T1 44W (Starry Sky, 128 GB)","₹15,999",4.4,"45,504 Ratings & 3,455 Reviews",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYJR2BWY&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_12&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGDRHVMW2UDXZY.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
12,"POCO M4 Pro (Power Black, 128 GB)","₹16,549",4.3,"1,35,504 Ratings & 12,348 Reviews",https://www.flipkart.com/poco-m4-pro-power-black-128-gb/p/itm4712e841d3458?pid=MOBGBTHFZ2GUW4MH&lid=LSTMOBGBTHFZ2GUW4MHSCFWBS&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=s_1_13&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBTHFZ2GUW4MH.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
13,"POCO X4 Pro 5G (Laser Black, 128 GB)","₹19,999",4.2,"64,379 Ratings & 6,556 Reviews",https://www.flipkart.com/poco-x4-pro-5g-laser-black-128-gb/p/itm30feac36897d8?pid=MOBGCGZZHMGXSYHA&lid=LSTMOBGCGZZHMGXSYHAUPT1FJ&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_14&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGCGZZHMGXSYHA.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
14,"POCO X4 Pro 5G (Laser Blue, 128 GB)","₹19,999",4.2,"64,379 Ratings & 6,556 Reviews",https://www.flipkart.com/poco-x4-pro-5g-laser-blue-128-gb/p/itmeb324bd268ef4?pid=MOBGCGZZDHZ2HJU8&lid=LSTMOBGCGZZDHZ2HJU8FKN1IY&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_15&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGCGZZDHZ2HJU8.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
15,"realme 9 5G (Stargaze White, 64 GB)","₹15,999",4.5,"36,675 Ratings & 2,116 Reviews",https://www.flipkart.com/realme-9-5g-stargaze-white-64-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5HG5RJZGW&lid=LSTMOBGC2Q5HG5RJZGWWUP6TT&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_16&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGC2Q5HG5RJZGW.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
16,"realme 9 5G (Meteor Black, 64 GB)","₹15,999",4.5,"36,675 Ratings & 2,116 Reviews",https://www.flipkart.com/realme-9-5g-meteor-black-64-gb/p/itm4f3814d50ff53?pid=MOBGC2Q5TGTGRBHR&lid=LSTMOBGC2Q5TGTGRBHRMQOCCB&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_17&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGC2Q5TGTGRBHR.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
17,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹18,999",4.2,"5,644 Ratings & 755 Reviews",https://www.flipkart.com/motorola-g82-5g-meterorite-grey-128-gb/p/itmed601beb0febc?pid=MOBGBEU7RTZFGZUQ&lid=LSTMOBGBEU7RTZFGZUQC1A74R&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_18&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBEU7RTZFGZUQ.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
18,"REDMI 10 (Caribbean Green, 128 GB)","₹11,999",4.2,"22,584 Ratings & 1,669 Reviews",https://www.flipkart.com/redmi-10-caribbean-green-128-gb/p/itm2389889c22bf0?pid=MOBGC9GYQVJHKH76&lid=LSTMOBGC9GYQVJHKH76KEBWPH&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_19&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGC9GYQVJHKH76.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
19,"realme 9 5G (Supersonic Black, 128 GB)","₹15,499",4.4,"46,204 Ratings & 2,997 Reviews",https://www.flipkart.com/realme-9-5g-supersonic-black-128-gb/p/itm4f3814d50ff53?pid=MOBGDGZYGBZW6GGK&lid=LSTMOBGDGZYGBZW6GGKBSXEDO&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_20&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGDGZYGBZW6GGK.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
20,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹15,990",4.3,"60,774 Ratings & 4,870 Reviews",https://www.flipkart.com/vivo-t1-5g-rainbow-fantasy-128-gb/p/itm594222523bd8f?pid=MOBGB9TYGW5NGXVH&lid=LSTMOBGB9TYGW5NGXVHWMF5TV&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_21&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGB9TYGW5NGXVH.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
21,"POCO M4 Pro (Cool Blue, 128 GB)","₹18,199",4.3,"12,744 Ratings & 1,121 Reviews",https://www.flipkart.com/poco-m4-pro-cool-blue-128-gb/p/itm5f8490c5b5c0e?pid=MOBGBTHFXSFUTMWG&lid=LSTMOBGBTHFXSFUTMWGNYTPIX&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_22&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGBTHFXSFUTMWG.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
22,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹17,999",4.3,"5,317 Ratings & 450 Reviews",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVWJUFTYQJ&lid=LSTMOBGDRHVWJUFTYQJ2SYXAC&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGDRHVWJUFTYQJ.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
23,"OPPO K10 5G (Ocean Blue, 128 GB)","₹17,499",4.4,"53,520 Ratings & 4,089 Reviews",https://www.flipkart.com/oppo-k10-5g-ocean-blue-128-gb/p/itm28cf887931942?pid=MOBGEWUYZ2Z9FSQG&lid=LSTMOBGEWUYZ2Z9FSQGC2YHFU&marketplace=FLIPKART&q=mobiles+under+20000&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=s_1_24&otracker=AS_Query_OrganicAutoSuggest_3_8_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_3_8_na_na_na&fm=organic&iid=95985598-ed0a-431c-a1c5-0c3d34f657f3.MOBGEWUYZ2Z9FSQG.SEARCH&ppt=None&ppn=None&ssid=yvq3l49mds0000001674326187465&qH=9215ad6dc70e1542
